ЛЮЙЯ;116,6707227;;;;;;;
ЛХМ;56,97882161;;;;;;;
;;;;;;;;
#;V;T1;T2;;;;;
8,70;59,58000651;кнфэ;кнфэ;9;;;;
8,73;60,64533529;кнфэ;кнфэ;10;;;;
8,77;59,36677409;кнфэ;кнфэ;11;;;;
8,80;58,92838542;кнфэ;хярхмю;12;;;;
8,83;59,74171549;кнфэ;кнфэ;13;;;;
8,87;64,12044271;кнфэ;кнфэ;14;;;;
8,90;76,63333008;кнфэ;кнфэ;15;;;;
8,93;82,82329427;кнфэ;кнфэ;16;;;;
8,97;87,10214844;кнфэ;кнфэ;17;;;;
9,00;92,72319661;кнфэ;кнфэ;18;;;;
9,03;110,7119792;хярхмю;кнфэ;19;;;;
9,07;99,74864909;кнфэ;кнфэ;20;;;;
9,10;90,39883464;кнфэ;кнфэ;21;;;;
9,13;86,96032552;кнфэ;кнфэ;1;;;;
9,17;82,83798828;кнфэ;кнфэ;2;;;;
9,20;72,75207031;кнфэ;кнфэ;3;;;;
9,23;66,87750977;кнфэ;кнфэ;4;;;;
9,27;65,30310872;кнфэ;кнфэ;5;;;;
9,30;62,36011719;кнфэ;кнфэ;6;;;;
9,33;60,85058268;кнфэ;кнфэ;7;;;;
9,37;59,91435872;кнфэ;кнфэ;8;;;;
9,40;60,23467773;кнфэ;кнфэ;9;;;;
9,43;60,19421549;кнфэ;кнфэ;10;;;;
9,47;58,74127604;кнфэ;хярхмю;11;;;;
9,50;58,69214193;кнфэ;хярхмю;12;;;;
9,53;59,95020182;кнфэ;кнфэ;13;;;;
9,57;65,5841862;кнфэ;кнфэ;14;;;;
9,60;77,05806966;кнфэ;кнфэ;15;;;;
9,63;83,32561849;кнфэ;кнфэ;16;;;;
9,67;88,42743815;кнфэ;кнфэ;17;;;;
9,70;94,73709961;кнфэ;кнфэ;18;;;;
9,73;111,1334342;хярхмю;кнфэ;19;;;;
9,77;99,65207682;кнфэ;кнфэ;20;;;;
9,80;90,48164388;кнфэ;кнфэ;21;;;;
9,83;86,2536849;кнфэ;кнфэ;1;;;;
9,87;82,25658854;кнфэ;кнфэ;2;;;;
9,90;72,04006185;кнфэ;кнфэ;3;;;;
9,93;66,49426432;кнфэ;кнфэ;4;;;;
9,97;64,77013021;кнфэ;кнфэ;5;;;;
10,00;61,5006901;кнфэ;кнфэ;6;;;;
10,03;61,01997721;кнфэ;кнфэ;7;;;;
10,07;59,11181315;кнфэ;кнфэ;8;;;;
10,10;60,30082031;кнфэ;кнфэ;9;;;;
10,13;59,66482096;кнфэ;кнфэ;10;;;;
10,17;58,49589193;кнфэ;хярхмю;11;;;;
10,20;58,92497721;кнфэ;хярхмю;12;;;;
10,23;60,95211263;кнфэ;кнфэ;13;;;;
10,27;71,86912435;кнфэ;кнфэ;14;;;;
10,30;79,9646224;кнфэ;кнфэ;15;;;;
10,33;84,2545931;кнфэ;кнфэ;16;;;;
10,37;89,53513346;кнфэ;кнфэ;17;;;;
10,40;102,9946973;кнфэ;кнфэ;18;;;;
10,43;113,0339811;хярхмю;кнфэ;19;;;;
10,47;98,72389648;кнфэ;кнфэ;20;;;;
10,50;88,24489583;кнфэ;кнфэ;21;;;;
10,53;82,28530273;кнфэ;кнфэ;1;;;;
10,57;74,46836914;кнфэ;кнфэ;2;;;;
10,60;68,68546875;кнфэ;кнфэ;3;;;;
10,63;65,97368815;кнфэ;кнфэ;4;;;;
10,67;64,13308919;кнфэ;кнфэ;5;;;;
10,70;61,01149414;кнфэ;кнфэ;6;;;;
10,73;61,01695313;кнфэ;кнфэ;7;;;;
10,77;59,12577148;кнфэ;кнфэ;8;;;;
10,80;60,18317057;кнфэ;кнфэ;9;;;;
10,83;59,25160807;кнфэ;кнфэ;10;;;;
10,87;58,28345052;кнфэ;хярхмю;11;;;;
10,90;58,70745768;кнфэ;хярхмю;12;;;;
10,93;61,75659505;кнфэ;кнфэ;13;;;;
10,97;73,89825846;кнфэ;кнфэ;14;;;;
11,00;81,39399414;кнфэ;кнфэ;15;;;;
11,03;85,39686523;кнфэ;кнфэ;16;;;;
11,07;91,02258789;кнфэ;кнфэ;17;;;;
11,10;108,9722559;хярхмю;кнфэ;18;;;;
11,13;105,6608301;кнфэ;кнфэ;19;;;;
11,17;93,23227865;кнфэ;кнфэ;20;;;;
11,20;87,68764974;кнфэ;кнфэ;21;;;;
11,23;83,66410156;кнфэ;кнфэ;1;;;;
11,27;76,02566732;кнфэ;кнфэ;2;;;;
11,30;68,5673763;кнфэ;кнфэ;3;;;;
11,33;65,52530273;кнфэ;кнфэ;4;;;;
11,37;63,09139648;кнфэ;кнфэ;5;;;;
11,40;60,64282552;кнфэ;кнфэ;6;;;;
11,43;59,98817708;кнфэ;кнфэ;7;;;;
11,47;59,31327474;кнфэ;кнфэ;8;;;;
11,50;59,64294271;кнфэ;кнфэ;9;;;;
11,53;58,32734049;кнфэ;хярхмю;10;;;;
11,57;58,04028971;кнфэ;хярхмю;11;;;;
11,60;58,92626302;кнфэ;хярхмю;12;;;;
11,63;63,06401042;кнфэ;кнфэ;13;;;;
11,67;74,64000977;кнфэ;кнфэ;14;;;;
11,70;81,75905273;кнфэ;кнфэ;15;;;;
11,73;86,11513997;кнфэ;кнфэ;16;;;;
11,77;92,2519401;кнфэ;кнфэ;17;;;;
11,80;109,809248;хярхмю;кнфэ;18;;;;
11,83;102,0329297;кнфэ;кнфэ;19;;;;
11,87;90,78056966;кнфэ;кнфэ;20;;;;
11,90;86,9873763;кнфэ;кнфэ;21;;;;
11,93;83,15479492;кнфэ;кнфэ;1;;;;
11,97;73,65189128;кнфэ;кнфэ;2;;;;
12,00;67,22683919;кнфэ;кнфэ;3;;;;
12,03;65,36447591;кнфэ;кнфэ;4;;;;
12,07;62,71563151;кнфэ;кнфэ;5;;;;
12,10;61,27769206;кнфэ;кнфэ;6;;;;
12,13;60,46779297;кнфэ;кнфэ;7;;;;
12,17;60,25777018;кнфэ;кнфэ;8;;;;
12,20;59,72273437;кнфэ;кнфэ;9;;;;
12,23;58,13625326;кнфэ;хярхмю;10;;;;
12,27;58,03825521;кнфэ;хярхмю;11;;;;
12,30;59,13866862;кнфэ;кнфэ;12;;;;
12,33;65,35579102;кнфэ;кнфэ;13;;;;
12,37;75,78172201;кнфэ;кнфэ;14;;;;
12,40;82,25877279;кнфэ;кнфэ;15;;;;
12,43;87,40518555;кнфэ;кнфэ;16;;;;
12,47;94,16575521;кнфэ;кнфэ;17;;;;
12,50;110,1093164;хярхмю;кнфэ;18;;;;
12,53;101,8366927;кнфэ;кнфэ;19;;;;
12,57;90,05130208;кнфэ;кнфэ;20;;;;
12,60;85,24169271;кнфэ;кнфэ;21;;;;
12,63;80,4226888;кнфэ;кнфэ;1;;;;
12,67;72,0753125;кнфэ;кнфэ;2;;;;
12,70;66,91800781;кнфэ;кнфэ;3;;;;
